"","text"
"132","  percepatan vaksinasi  keselamatan masyarakat   pemdapercepatvaksinasi "
"133","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi  pemdaper"
"134","vaksinasi anak  mencapai masyarakat produktif  aman covid  vaksin tangkal omicron "
"135","  suksesnya capaian target vaksinasi  bergantung  peran  pimpinan daearah  pemda   masyarakat"
"136","  pembatalan ppkm level  sdh  kajian  survei  masyarakat dihimbau   mematuhi arahan pemerintah da"
"137","  pemberian vaksin       melindungi masyarakat  covid   memulihkan kondisi s"
"138","  mendagri  pemda melakukn  terobosan     mengumpulkan masyarakat   mengiku"
"139","  mendagri  pemda melakukn  terobosan     mengumpulkan masyarakat   mengiku"
"140","pengumuman vaksinasi  puskesmas sepauk  masyarakat    vaksin sinovac dosis    vaksin pfizer dosis   "
"141","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi   pemdap"
"142","  pembatalan ppkm level  sdh  kajian  survei  masyarakat dihimbau   mematuhi arahan pemerintah da"
"143","  semoga  kepala daerah    utk mempercepat vaksinasi massal kpd masyarakat   pemdapercepat"
"144","kegiatan pendampingan masyarakat  vaksinasi kec basse sangtempe"
"145","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi   pemdap"
"146","  satgas penanganan covid ajak masyarakat    vaksinasi covid dosis lengkap "
"147","vaksinasi anak  mencapai masyarakat produktif  aman covid vaksin tangkal omicron "
"148","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi  pemdaperc"
"149","   terobosan   khusunya dlm mengumpulkan masyarakat   mengikuti vaksinasi   pe"
"150","   terobosan   khusunya dlm mengumpulkan masyarakat   mengikuti vaksinasi   pe"
"151","  pemdapercepatvaksinasi  pemerintah daerah sambung tito   anggaran penanganan covid yg  dialokasikan"
"152","vaksinasi anak  mencapai masyarakat produktif  aman covid vaksin tangkal omicron "
"153","   terobosan     mengumpulkan masyarakat   mengikuti vaksinasi   pemdape"
"154"," terobosan   khusunya dlm mengumpulkan masyarakat   mengikuti vaksinasi   "
"155","  mendagri  pemda melakukn  terobosan     mengumpulkan masyarakat   mengiku"
"156","vaksinasi anak  mencapai masyarakat produktif  aman covid vaksin tangkal omicron "
"157","  satgas penanganan covid ajak masyarakat    vaksinasi covid dosis lengkap "
